phase,top_k,holding_days,cost_bps,cost_bps_used,cost_bps_config,cost_bps_mismatch_flag,gross_minus_net_total_return_pct,avg_cost_pct,buffer_k,n_rebalances,gross_total_return,net_total_return,gross_cagr,net_cagr,gross_vol_ann,net_vol_ann,gross_sharpe,net_sharpe,gross_mdd,net_mdd,gross_hit_ratio,net_hit_ratio,avg_turnover_oneway,avg_n_tickers,ic,rank_ic,icir,rank_icir,long_short_alpha,long_short_alpha_ann,gross_calmar_ratio,net_calmar_ratio,gross_profit_factor,net_profit_factor,avg_trade_duration,date_start,date_end,weighting,strategy
dev,12,20,10.0,10.0,10.0,False,0.26954759448432775,0.0241358024691358,15,81,13.353534622748114,13.083987028263786,0.5066176226354933,0.5022296282300434,1.8467531260252992,1.8466474436420628,0.4997710461089237,0.49815281945382045,-0.24804804021223825,-0.2533269725211226,0.5185185185185185,0.5185185185185185,0.39197530864197533,12.0,0.02627852252074414,0.03669963039628876,0.8973305167108193,1.0216445562040284,0.08628105583175281,1.0871413034800854,2.042417356742727,1.9825351530152089,6.84722192466602,6.772771704733586,29.70940170940171,2016-05-31,2022-11-30,equal,bt20_short
holdout,12,20,10.0,10.0,10.0,False,0.007638994401043542,0.026572017103664032,15,23,0.2619740760327258,0.2543350816316823,0.13809255201160697,0.13425748283834604,0.14719133888353042,0.147268558338367,0.9373686103854831,0.9141426259211332,-0.04376819152384992,-0.043918191523850014,0.5217391304347826,0.5217391304347826,0.391304347826087,12.0,0.020812187260470984,0.059109794182192144,0.37332005967748283,1.075575713913461,0.006349403223873157,0.08000248062080177,3.155089282963824,3.0569902398061357,2.221117432506648,2.17381675372307,30.02469135802469,2023-01-31,2024-11-18,equal,bt20_short
