일자,ticker,pred_label,ESG_Label
20160226,104700,0,Governance
20160226,104700,0,Governance
20160226,104700,0,Governance
20160226,104700,0,Governance
20160226,104700,0,Governance
20160404,104700,1,Social
20160407,104700,0,Governance
20170110,104700,-1,Governance
20170221,104700,1,Governance
20170221,104700,0,Governance
20170221,104700,0,Governance
20170222,104700,0,Governance
20170324,104700,0,Governance
20170405,104700,-1,Governance
20170428,104700,-1,Governance
20170704,104700,1,Governance
20170705,104700,1,Governance
20170816,104700,0,Social
20170831,104700,0,Environmental
20171026,104700,-1,Governance
20171110,104700,1,Governance
20171220,104700,0,Environmental
