일자,ticker,pred_label,ESG_Label
20160304,007210,0,Governance
20160304,007210,0,Governance
20160311,007210,0,Environmental
20160324,007210,1,Environmental
20160609,007210,-1,Governance
20160613,007210,1,Social
20160613,007210,1,Environmental
20160614,007210,1,Social
20160629,007210,1,Environmental
20160905,007210,1,Governance
20160905,007210,1,Governance
20160905,007210,1,Governance
20160905,007210,1,Governance
20161114,007210,0,Environmental
20161115,007210,0,Environmental
20161208,007210,0,Social
20161208,007210,-1,Social
20170303,007210,0,Governance
20170303,007210,0,Governance
20170304,007210,0,Governance
20170615,007210,1,Governance
20170705,007210,0,Social
20170824,007210,0,Environmental
20171016,007210,1,Governance
