일자,ticker,pred_label,ESG_Label
20190222,006390,0,Governance
20190611,006390,0,Environmental
20190611,006390,0,Governance
20190611,006390,1,Environmental
20190723,006390,0,Governance
20190723,006390,0,Governance
20190723,006390,0,Governance
20190723,006390,-1,Governance
20190723,006390,0,Governance
20190723,006390,-1,Governance
20190723,006390,0,Governance
20190724,006390,0,Governance
20200113,006390,1,Social
20200227,006390,0,Governance
20200227,006390,0,Governance
20200317,006390,0,Social
20200326,006390,1,Social
20200414,006390,1,Social
20200416,006390,1,Social
20200420,006390,1,Social
20210101,006390,0,Governance
20210223,006390,0,Governance
20210223,006390,0,Governance
20210315,006390,0,Environmental
