일자,ticker,pred_label,ESG_Label
20210115,003850,0,Governance
20210119,003850,0,Social
20210121,003850,1,Social
20210217,003850,0,Environmental
20210419,003850,0,Governance
20210420,003850,0,Governance
20210426,003850,0,Social
20210602,003850,1,Governance
20210610,003850,-1,Social
20210615,003850,-1,Environmental
20210706,003850,0,Governance
20210707,003850,0,Governance
20210712,003850,0,Governance
20210809,003850,0,Governance
20210915,003850,0,Social
20211022,003850,0,Environmental
20211113,003850,-1,Social
20211219,003850,-1,Environmental
20220104,003850,0,Governance
20220104,003850,0,Governance
20220119,003850,0,Social
20220303,003850,1,Social
20220315,003850,-1,Environmental
20220325,003850,1,Environmental
20220403,003850,1,Governance
20220511,003850,0,Environmental
20220615,003850,0,Environmental
20220628,003850,0,Environmental
20220808,003850,1,Social
20220926,003850,1,Social
20220928,003850,1,Social
20221003,003850,0,Social
20221013,003850,-1,Social
20221024,003850,0,Governance
20221024,003850,0,Social
20221024,003850,0,Governance
20221025,003850,-1,Governance
20221025,003850,1,Governance
20221026,003850,-1,Governance
20221122,003850,0,Governance
20221124,003850,-1,Social
20221218,003850,0,Environmental
20221221,003850,0,Governance
20221221,003850,0,Governance
20230203,003850,0,Environmental
20230220,003850,-1,Governance
20230221,003850,1,Governance
20230221,003850,-1,Governance
20230321,003850,1,Governance
20230411,003850,1,Governance
20230412,003850,1,Governance
20230426,003850,-1,Governance
20230529,003850,0,Governance
20230714,003850,0,Governance
20230719,003850,0,Social
20230905,003850,1,Social
20230919,003850,0,Social
20230920,003850,0,Environmental
20230920,003850,1,Social
20231006,003850,0,Social
20231122,003850,0,Social
20231212,003850,1,Environmental
