일자,ticker,pred_label,ESG_Label
20230531,457190,0,Environmental
20230830,457190,0,Environmental
20231027,457190,0,Environmental
20231101,457190,0,Environmental
20231130,457190,1,Environmental
20240124,457190,0,Governance
20240124,457190,0,Governance
20240125,457190,1,Governance
20240206,457190,1,Governance
20240206,457190,1,Environmental
20240214,457190,0,Environmental
20240214,457190,0,Environmental
20240214,457190,1,Environmental
20240214,457190,0,Environmental
20240214,457190,0,Environmental
20240214,457190,1,Environmental
20240214,457190,0,Environmental
20240214,457190,0,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240317,457190,1,Environmental
20240318,457190,1,Environmental
20240318,457190,1,Environmental
20240318,457190,1,Environmental
20240318,457190,1,Environmental
20240318,457190,1,Environmental
20240318,457190,1,Environmental
20240319,457190,1,Environmental
20240514,457190,0,Social
20240520,457190,0,Environmental
20240604,457190,1,Governance
20240612,457190,1,Environmental
20240812,457190,0,Environmental
20240814,457190,1,Environmental
20240818,457190,0,Environmental
20240903,457190,0,Environmental
20240923,457190,1,Environmental
20240930,457190,1,Social
20240930,457190,1,Social
20240930,457190,1,Social
20241010,457190,0,Environmental
20241010,457190,0,Environmental
20241010,457190,0,Environmental
