일자,ticker,pred_label,ESG_Label
20200203,001230,-1,Social
20200206,001230,1,Environmental
20200307,001230,0,Governance
20200311,001230,1,Governance
20200311,001230,1,Governance
20200311,001230,0,Governance
20200312,001230,1,Governance
20200312,001230,0,Governance
20200319,001230,-1,Governance
20200319,001230,0,Environmental
20200320,001230,1,Governance
20200320,001230,1,Governance
20200320,001230,1,Governance
20200324,001230,0,Social
20200326,001230,1,Governance
20200327,001230,1,Governance
20200415,001230,-1,Environmental
20200514,001230,0,Governance
20200515,001230,0,Governance
20200518,001230,-1,Governance
20200519,001230,-1,Environmental
20200529,001230,0,Environmental
20200610,001230,0,Social
20200610,001230,0,Social
20200625,001230,-1,Social
20200730,001230,1,Environmental
20200905,001230,0,Governance
20201007,001230,-1,Governance
20201116,001230,1,Environmental
20201216,001230,1,Governance
20201229,001230,0,Environmental
20210120,001230,0,Governance
20210218,001230,-1,Social
20210312,001230,0,Environmental
20210326,001230,0,Environmental
20210331,001230,1,Environmental
20210405,001230,1,Social
20210412,001230,0,Social
20210427,001230,0,Social
20210427,001230,0,Social
20210428,001230,0,Social
20210429,001230,1,Environmental
20210510,001230,1,Environmental
20210512,001230,0,Social
20210512,001230,0,Social
20210517,001230,1,Social
20210526,001230,1,Social
20210527,001230,1,Social
20210611,001230,0,Social
20210630,001230,0,Social
20210701,001230,0,Environmental
20210810,001230,0,Environmental
20210907,001230,-1,Environmental
20210913,001230,0,Social
20211005,001230,0,Governance
20211013,001230,1,Environmental
20211101,001230,0,Environmental
20211102,001230,0,Environmental
20211130,001230,0,Social
20211130,001230,0,Social
20220106,001230,0,Social
20220106,001230,1,Environmental
20220119,001230,0,Social
20220128,001230,0,Social
20220204,001230,1,Environmental
20220210,001230,0,Governance
20220210,001230,-1,Environmental
20220215,001230,1,Environmental
20220216,001230,1,Governance
20220315,001230,0,Social
20220315,001230,0,Social
20220322,001230,1,Environmental
20220420,001230,1,Social
20220425,001230,1,Environmental
20220426,001230,1,Environmental
20220509,001230,-1,Governance
20220510,001230,1,Governance
20220510,001230,-1,Governance
20220517,001230,1,Environmental
20220526,001230,0,Environmental
20220609,001230,0,Social
20220624,001230,0,Social
20220624,001230,0,Social
20220630,001230,0,Social
20220630,001230,0,Social
20220705,001230,0,Social
20220707,001230,-1,Environmental
20220707,001230,1,Environmental
20220711,001230,1,Environmental
20220801,001230,0,Environmental
20220801,001230,0,Environmental
20220801,001230,0,Governance
20220807,001230,1,Environmental
20220808,001230,1,Governance
20220812,001230,0,Governance
20220812,001230,-1,Governance
20220916,001230,0,Environmental
20220919,001230,-1,Governance
20220921,001230,0,Environmental
20221005,001230,1,Environmental
20221031,001230,-1,Governance
20221031,001230,1,Governance
20221106,001230,-1,Social
20221110,001230,0,Environmental
20221209,001230,0,Governance
20221209,001230,1,Governance
20221209,001230,-1,Social
20221215,001230,-1,Governance
20221215,001230,0,Environmental
20221219,001230,0,Governance
20221219,001230,0,Environmental
20221219,001230,0,Environmental
20221220,001230,0,Social
20221221,001230,-1,Social
20221222,001230,0,Social
20221228,001230,-1,Social
20230102,001230,-1,Environmental
20230109,001230,0,Social
20230109,001230,0,Social
20230112,001230,1,Social
20230113,001230,-1,Social
20230116,001230,1,Governance
20230117,001230,-1,Social
20230121,001230,0,Social
20230209,001230,0,Governance
20230215,001230,-1,Governance
20230216,001230,0,Environmental
20230220,001230,1,Environmental
20230222,001230,0,Environmental
20230224,001230,0,Environmental
20230303,001230,0,Governance
20230313,001230,0,Governance
20230314,001230,1,Social
20230314,001230,1,Social
20230324,001230,0,Governance
20230417,001230,0,Environmental
20230512,001230,1,Governance
20230512,001230,-1,Governance
20230512,001230,0,Governance
20230512,001230,0,Governance
20230601,001230,1,Governance
20230601,001230,0,Governance
20230615,001230,0,Governance
20230619,001230,1,Social
20230621,001230,1,Social
20230711,001230,0,Environmental
20230711,001230,0,Environmental
20230801,001230,1,Environmental
20230828,001230,0,Governance
20231011,001230,0,Governance
