일자,ticker,pred_label,ESG_Label
20160224,009970,0,Governance
20160224,009970,0,Governance
20160224,009970,0,Governance
20160224,009970,0,Governance
20160321,009970,1,Governance
20160321,009970,1,Governance
20160321,009970,0,Governance
20160321,009970,1,Governance
20161201,009970,-1,Governance
20170403,009970,-1,Governance
20170405,009970,1,Governance
20170526,009970,-1,Social
20180105,009970,0,Governance
20180105,009970,1,Governance
20180223,009970,0,Governance
20181114,009970,0,Governance
20190228,009970,0,Governance
20190306,009970,0,Governance
20190306,009970,0,Governance
20190401,009970,0,Governance
20190515,009970,0,Governance
20200226,009970,0,Governance
20200226,009970,0,Governance
20200226,009970,0,Governance
20200226,009970,0,Governance
20210209,009970,0,Environmental
20210209,009970,0,Environmental
20210209,009970,0,Environmental
20210210,009970,0,Environmental
20210316,009970,0,Governance
20210316,009970,0,Governance
20210316,009970,0,Governance
20210608,009970,0,Social
20210702,009970,-1,Governance
20210906,009970,0,Environmental
20210906,009970,0,Environmental
20210906,009970,0,Environmental
20210906,009970,0,Environmental
20220317,009970,0,Governance
20220527,009970,1,Environmental
20220713,009970,0,Environmental
20220713,009970,0,Environmental
20220826,009970,0,Environmental
20221004,009970,0,Governance
20221130,009970,0,Governance
20230307,009970,-1,Governance
20230307,009970,0,Governance
20230307,009970,-1,Governance
20230308,009970,0,Governance
20230308,009970,0,Governance
20230308,009970,0,Governance
20230308,009970,1,Governance
20230308,009970,0,Governance
20230308,009970,0,Governance
20230308,009970,0,Governance
20230308,009970,0,Governance
20230309,009970,0,Governance
20230317,009970,0,Governance
20230921,009970,1,Governance
20230921,009970,1,Governance
20240311,009970,0,Environmental
20240311,009970,0,Environmental
20240312,009970,1,Environmental
20240327,009970,-1,Governance
