일자,ticker,pred_label,ESG_Label
20200103,005610,0,Environmental
20200105,005610,0,Social
20200123,005610,0,Governance
20200130,005610,1,Governance
20200213,005610,0,Environmental
20200220,005610,0,Environmental
20200306,005610,0,Governance
20200306,005610,0,Governance
20200306,005610,0,Governance
20200312,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200318,005610,0,Social
20200318,005610,0,Environmental
20200318,005610,0,Environmental
20200319,005610,0,Environmental
20200319,005610,0,Environmental
20200320,005610,0,Environmental
20200323,005610,0,Governance
20200327,005610,0,Environmental
20200331,005610,0,Environmental
20200408,005610,1,Governance
20200409,005610,1,Governance
20200409,005610,0,Governance
20200409,005610,0,Environmental
20200421,005610,0,Social
20200427,005610,0,Environmental
20200604,005610,0,Environmental
20200616,005610,0,Social
20200625,005610,0,Environmental
20200710,005610,0,Social
20200716,005610,0,Environmental
20200821,005610,-1,Environmental
20200904,005610,0,Environmental
20200924,005610,0,Environmental
20201006,005610,0,Environmental
20201016,005610,0,Environmental
20201223,005610,0,Environmental
20201223,005610,0,Social
20201223,005610,0,Social
20201223,005610,0,Social
20201223,005610,0,Social
20210210,005610,-1,Environmental
20210309,005610,0,Governance
20210310,005610,-1,Governance
20210311,005610,1,Governance
20210311,005610,1,Governance
20210318,005610,0,Environmental
20210429,005610,0,Governance
20210517,005610,0,Environmental
20210527,005610,1,Social
20210527,005610,1,Social
20210527,005610,0,Social
20210527,005610,1,Social
20210527,005610,1,Social
20210527,005610,0,Social
20210528,005610,1,Social
20210528,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210603,005610,0,Environmental
20210604,005610,0,Environmental
20210604,005610,0,Environmental
20210804,005610,0,Social
20210804,005610,0,Social
20210806,005610,0,Environmental
20210806,005610,0,Environmental
20210806,005610,-1,Environmental
20210806,005610,-1,Environmental
20210806,005610,0,Environmental
20210806,005610,0,Environmental
20210806,005610,0,Environmental
20210806,005610,0,Environmental
20211001,005610,0,Environmental
20211001,005610,0,Environmental
20211001,005610,0,Environmental
20211115,005610,0,Social
20211115,005610,0,Social
20211122,005610,0,Environmental
20211122,005610,0,Environmental
20211224,005610,0,Environmental
20211224,005610,0,Environmental
20211227,005610,0,Environmental
20211229,005610,0,Environmental
