일자,ticker,pred_label,ESG_Label
20200219,241590,1,Environmental
20200309,241590,1,Social
20200323,241590,1,Governance
20200324,241590,-1,Governance
20200414,241590,1,Environmental
20200513,241590,0,Governance
20200515,241590,1,Environmental
20200602,241590,1,Governance
20200818,241590,1,Environmental
20210305,241590,0,Governance
20210308,241590,0,Governance
20210329,241590,1,Governance
20210824,241590,0,Social
20211007,241590,1,Social
20211007,241590,-1,Environmental
20211115,241590,1,Social
20220308,241590,0,Governance
20220310,241590,1,Governance
20220310,241590,0,Governance
20220311,241590,1,Governance
20220516,241590,1,Social
20220629,241590,1,Social
20220905,241590,0,Environmental
20220917,241590,1,Environmental
20221017,241590,-1,Social
20221101,241590,1,Environmental
20230119,241590,1,Environmental
20230120,241590,1,Environmental
20230310,241590,0,Governance
20230914,241590,1,Social
20231102,241590,-1,Environmental
