phase,top_k,holding_days,cost_bps,cost_bps_used,cost_bps_config,cost_bps_mismatch_flag,gross_minus_net_total_return_pct,avg_cost_pct,buffer_k,n_rebalances,gross_total_return,net_total_return,gross_cagr,net_cagr,gross_vol_ann,net_vol_ann,gross_sharpe,net_sharpe,gross_mdd,net_mdd,gross_hit_ratio,net_hit_ratio,avg_turnover_oneway,avg_n_tickers,gross_calmar_ratio,net_calmar_ratio,gross_profit_factor,net_profit_factor,avg_trade_duration,date_start,date_end,weighting,alpha,model
dev,15,120,10.0,10.0,10.0,False,0.03465783791197552,0.09166666666666663,15,72,-0.4723397590342058,-0.5069975969461813,-0.10485630270234081,-0.11533180735068149,0.24365921182866973,0.2437209789400802,0.03158484674322315,0.023678465794335007,-0.9319204839001716,-0.9343165254523487,0.3472222222222222,0.3472222222222222,0.3828703703703703,15.0,-0.11251636219380831,-0.12343975966265146,1.0600425626710628,1.0445676315486976,46.05528255528255,2016-09-27,2022-07-06,equal,10.00,bt120_long
holdout,15,120,10.0,10.0,10.0,False,0.028329731390563273,0.1,15,18,0.6268313857180061,0.5985016543274428,0.42087236127733796,0.40296823526284475,0.10614496175171254,0.10614496175171254,0.58900220692814,0.5692179424155812,-0.15916958141412518,-0.16351470028452042,0.6666666666666666,0.6666666666666666,0.3277777777777777,15.0,2.6441758377332047,2.464415948912655,3.1209573854906547,3.0021695192412996,39.529411764705884,2023-01-31,2024-06-20,equal,10.00,bt120_long
