phase,top_k,holding_days,cost_bps,cost_bps_used,cost_bps_config,cost_bps_mismatch_flag,gross_minus_net_total_return_pct,avg_cost_pct,buffer_k,n_rebalances,gross_total_return,net_total_return,gross_cagr,net_cagr,gross_vol_ann,net_vol_ann,gross_sharpe,net_sharpe,gross_mdd,net_mdd,gross_hit_ratio,net_hit_ratio,avg_turnover_oneway,avg_n_tickers,gross_calmar_ratio,net_calmar_ratio,gross_profit_factor,net_profit_factor,avg_trade_duration,date_start,date_end,weighting,alpha,model
dev,15,20,10.0,10.0,10.0,False,1.3484279385075588,0.10000000000000002,20,82,16.460631290164983,15.112203351657424,0.5436705216587234,0.524950519402414,1.543467122211678,1.543467122211678,0.5628060892493936,0.5546426500554857,-0.351759404543475,-0.36933842418709906,0.524390243902439,0.5121951219512195,0.4118955418001029,15.0,1.5455749430901984,1.421326580243612,5.203705433025483,5.023070754506794,29.702239789196312,2016-04-29,2022-11-30,softmax,"short=10.00,long=10.00",bt20_ens
holdout,15,20,10.0,10.0,10.0,False,0.026607972213441133,0.10000000000000002,20,23,0.17614080529584664,0.1495328330824055,0.09438687628917797,0.08055286311189502,0.20648741798251707,0.20648741798251707,0.52534367349108,0.46432300635846935,-0.13642120555440707,-0.14429322448108595,0.5217391304347826,0.5217391304347826,0.32472829615541743,15.0,0.691878333031846,0.558258112268147,1.5124510894994099,1.4403910722236206,29.955947136563875,2023-01-31,2024-11-18,softmax,"short=10.00,long=10.00",bt20_ens
