ranking,ticker_formatted,company_name,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features,original_ranking
1,015760,Unknown,2023-01-02,0.1465142840455355,-0.022692742,0.0619107710227677,news,profitability,other,,,,1
2,034730,SK,2023-01-02,0.0605157512767288,0.07036185,0.0654388006383644,technical,news,value,,,,2
3,005380,현대차,2023-01-02,0.0595690174573627,0.04199804,0.0507835287286813,news,other,value,,,,3
4,036460,Unknown,2023-01-02,0.0435490169931004,0.018176904,0.0308629604965502,news,other,profitability,,,,16
5,012330,현대모비스,2023-01-02,0.039042649895632,0.027709099,0.033375874447816,news,value,technical,,,,9
6,001040,Unknown,2023-01-02,0.0382746532514593,0.028814899,0.0335447761257296,technical,news,other,,,,7
7,097950,Unknown,2023-01-02,0.0382640427853702,0.026499487,0.0323817648926851,other,profitability,value,,,,5
8,017670,Unknown,2023-01-02,0.0359707952523132,0.031744108,0.0338574516261566,news,technical,profitability,,,,6
9,003240,태광산업,2023-01-02,0.0346735226735806,0.03608062,0.0353770713367903,news,technical,other,,,,4
10,030200,Unknown,2023-01-02,0.034306306504881,0.025309732,0.0298080192524405,technical,news,other,,,,17
11,030000,Unknown,2023-01-02,0.0339083575099553,0.024034575,0.0289714662549776,technical,other,value,,,,10
12,004370,Unknown,2023-01-02,0.0309972561459244,0.03039706,0.0306971580729622,news,technical,other,,,,12
13,028260,Unknown,2023-01-02,0.0305049652039987,0.032075923,0.0312904441019993,news,value,profitability,,,,8
14,137310,에스디바이오센서,2023-01-02,0.0302700869499128,0.03165074,0.0309604134749564,profitability,technical,other,,,,14
15,035250,Unknown,2023-01-02,0.0267296060839966,0.03674238,0.0317359930419983,technical,news,other,,,,15
16,241560,두산밥캣,2023-01-02,0.0257673993568972,0.033333544,0.0295504716784486,technical,profitability,other,,,,13
17,029780,Unknown,2023-01-02,0.0256556720980124,0.030980378,0.0283180250490062,technical,news,other,,,,19
18,032640,Unknown,2023-01-02,0.0254997791536188,0.03180869,0.0286542345768094,technical,news,other,,,,11
19,000100,Unknown,2023-01-02,0.0231123442576196,0.026518198,0.0248152711288098,technical,news,other,,,,18
20,000240,Unknown,2023-01-02,0.0231120519774169,0.026285248,0.0246986499887084,technical,other,value,,,,20
1,015760,Unknown,2023-01-03,0.1670182867246478,-0.022692742,0.0721627723623239,profitability,technical,news,,,,1
2,034730,SK,2023-01-03,0.067704847616608,0.07036185,0.069033348808304,news,technical,value,,,,2
3,005380,현대차,2023-01-03,0.0520077815239014,0.04199804,0.0470029107619507,news,value,other,,,,3
4,012330,현대모비스,2023-01-03,0.043048171070923,0.027709099,0.0353786350354615,news,value,technical,,,,9
5,030000,Unknown,2023-01-03,0.0424949327849285,0.024034575,0.0332647538924642,technical,news,other,,,,10
6,097950,Unknown,2023-01-03,0.0409821238675773,0.026499487,0.0337408054337886,technical,news,other,,,,5
7,001040,Unknown,2023-01-03,0.038913967813987,0.028814899,0.0338644334069935,technical,other,value,,,,7
8,036460,Unknown,2023-01-03,0.0375672143650328,0.018176904,0.0278720591825164,news,technical,profitability,,,,16
9,017670,Unknown,2023-01-03,0.0364801252191923,0.031744108,0.0341121166095961,technical,profitability,value,,,,6
10,000100,Unknown,2023-01-03,0.0355510834080117,0.026518198,0.0310346407040058,technical,value,profitability,,,,18
11,028260,Unknown,2023-01-03,0.0337459360903141,0.032075923,0.032910929545157,news,value,profitability,,,,8
