ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
11,66570,2024-04-19,0.04178649,0.03538761056387124,0.038587050281935625,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,990,2024-04-19,0.037051022,0.0,0.018525511,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
13,880,2024-04-19,0.014400207,0.0635351256070513,0.03896766630352565,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
14,670,2024-04-19,0.049204085,0.016923758355136955,0.03306392167756848,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
15,3490,2024-04-19,0.042828698,0.031457713841047105,0.03714320592052355,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
16,120110,2024-04-19,0.04264089,0.024834177465061603,0.0337375337325308,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
17,51910,2024-04-19,0.04348986,0.021551086017387734,0.032520473008693866,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,373220,2024-04-19,0.033888604,0.0299334420651889,0.03191102303259445,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
19,15760,2024-04-19,0.02724027,0.03815268963822785,0.03269647981911392,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,302440,2024-04-19,0.04169268,0.01836823379138989,0.030030456895694946,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,55550,2024-05-22,-0.002568331,0.24092153757503137,0.11917660328751568,technical,esg,news,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,105560,2024-05-22,-0.008544827,0.2288275198889418,0.11014134644447089,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,316140,2024-05-22,0.020309495,0.20456303553636931,0.11243626526818466,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
4,24110,2024-05-22,0.019640747,0.14647679389637722,0.0830587704481886,value,technical,esg,"turnover, net_income, roe","volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score"
5,86790,2024-05-22,-0.022066277,0.1647515068842651,0.07134261494213255,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,34730,2024-05-22,0.07481145,0.0449395372102169,0.05987549360510845,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
7,880,2024-05-22,0.03376936,0.08492310618865516,0.05934623309432758,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
8,32640,2024-05-22,0.055510838,0.03993133179323533,0.047721084896617666,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
