date,ranking_type,rank,ticker,score_short,score_long,score_ens,top1_feature,top2_feature,top3_feature
2023-01-31,long,0,1230,-0.013986659,0.0,-0.0139866592362523,score_short,score_ens,score_long
2023-01-31,long,0,5440,0.009507014,0.0,0.0095070144161582,score_short,score_ens,score_long
2023-01-31,long,0,6040,0.009147286,0.0,0.0091472864151,score_short,score_ens,score_long
2023-01-31,long,0,8560,-0.03435985,0.0,-0.0343598499894142,score_short,score_ens,score_long
2023-01-31,long,0,241590,-0.015304982,0.0,-0.0153049817308783,score_short,score_ens,score_long
2023-01-31,long,1,5930,-0.04723995,0.075280294,0.0140201710164546,score_long,score_short,score_ens
2023-01-31,long,2,34730,0.06013581,0.07036185,0.0652488321065902,score_long,score_short,score_ens
2023-01-31,long,3,5380,0.055441126,0.04199804,0.048719584941864,score_long,score_short,score_ens
2023-01-31,long,4,11200,-0.031106422,0.04023756,0.0045655695721507,score_long,score_short,score_ens
2023-01-31,long,5,35250,0.02342582,0.03674238,0.0300840996205806,score_long,score_short,score_ens
2023-01-31,long,6,3240,0.03572828,0.03608062,0.0359044522047042,score_long,score_short,score_ens
2023-01-31,long,7,326030,0.018408025,0.033498965,0.0259534940123558,score_long,score_short,score_ens
2023-01-31,long,8,241560,0.027684245,0.033333544,0.0305088944733142,score_long,score_short,score_ens
2023-01-31,long,9,28260,0.03299725,0.032075923,0.0325365886092186,score_long,score_short,score_ens
2023-01-31,long,10,32640,0.029323105,0.03180869,0.0305658970028162,score_long,score_short,score_ens
2023-01-31,long,11,17670,0.038302373,0.031744108,0.0350232422351837,score_long,score_short,score_ens
2023-01-31,long,12,880,0.013732274,0.031734243,0.0227332580834627,score_long,score_ens,score_short
2023-01-31,long,13,137310,0.029152991,0.03165074,0.0304018668830394,score_long,score_short,score_ens
2023-01-31,long,14,300720,0.024245063,0.03137564,0.0278103500604629,score_long,score_short,score_ens
2023-01-31,long,15,192080,0.016331477,0.031155074,0.023743275552988,score_long,score_short,score_ens
2023-01-31,long,16,4800,0.01934732,0.031138945,0.0252431333065032,score_long,score_short,score_ens
2023-01-31,long,17,29780,0.026760895,0.030980378,0.0288706365972757,score_long,score_short,score_ens
2023-01-31,long,18,4490,-0.0062116515,0.030700156,0.012244252488017,score_long,score_ens,score_short
2023-01-31,long,19,78930,0.024542553,0.03056067,0.0275516118854284,score_long,score_short,score_ens
2023-01-31,long,20,4370,0.030708402,0.03039706,0.0305527299642562,score_long,score_short,score_ens
2023-01-31,long,21,16360,0.01276172,0.030209504,0.021485611796379,score_long,score_ens,score_short
2023-01-31,long,22,6800,0.0022607723,0.029702608,0.0159816890954971,score_long,score_ens,score_short
2023-01-31,long,23,4000,0.026362123,0.029084234,0.0277231782674789,score_long,score_short,score_ens
2023-01-31,long,24,1040,0.036903758,0.028814899,0.0328593291342258,score_long,score_short,score_ens
2023-01-31,long,25,18260,0.021776397,0.028302336,0.025039367377758,score_long,score_short,score_ens
2023-01-31,long,26,24110,0.025264524,0.028282797,0.0267736613750457,score_long,score_short,score_ens
2023-01-31,long,27,69260,0.02848548,0.027791684,0.0281385816633701,score_long,score_short,score_ens
2023-01-31,long,28,12330,0.036183942,0.027709099,0.0319465212523937,score_long,score_short,score_ens
2023-01-31,long,29,267250,0.02156237,0.027318353,0.0244403611868619,score_long,score_short,score_ens
2023-01-31,long,30,100,0.031369563,0.026518198,0.0289438813924789,score_long,score_short,score_ens
2023-01-31,long,31,97950,0.04480117,0.026499487,0.0356503278017044,score_long,score_short,score_ens
2023-01-31,long,32,280360,0.02764595,0.026439685,0.0270428173243999,score_long,score_short,score_ens
2023-01-31,long,33,240,0.030323807,0.026285248,0.0283045284450054,score_long,score_short,score_ens
2023-01-31,long,34,96770,0.020847196,0.02608036,0.0234637781977653,score_long,score_short,score_ens
2023-01-31,long,35,3850,0.0147345485,0.02607715,0.0204058494418859,score_long,score_short,score_ens
2023-01-31,long,36,8930,0.02390102,0.025873361,0.0248871892690658,score_long,score_short,score_ens
2023-01-31,long,37,30200,0.032616105,0.025309732,0.028962917625904,score_long,score_short,score_ens
2023-01-31,long,38,57050,0.019498186,0.025052203,0.0222751945257186,score_long,score_short,score_ens
2023-01-31,long,39,3410,0.03030798,0.02499054,0.0276492610573768,score_long,score_short,score_ens
2023-01-31,long,40,20000,0.024783015,0.02486514,0.0248240772634744,score_long,score_short,score_ens
2023-01-31,long,41,6280,0.021847602,0.02477677,0.02331218495965,score_long,score_short,score_ens
2023-01-31,long,42,16380,0.008708668,0.024384852,0.0165467597544193,score_long,score_ens,score_short
2023-01-31,long,43,26960,0.014860704,0.024359263,0.0196099840104579,score_long,score_short,score_ens
2023-01-31,long,44,1680,0.029193627,0.024293886,0.0267437566071748,score_long,score_short,score_ens
2023-01-31,long,45,12750,0.02423129,0.02419281,0.0242120511829853,score_long,score_short,score_ens
2023-01-31,short,1,15760,0.16703428,-0.022692742,0.0721707716584205,score_short,score_ens,score_long
2023-01-31,short,2,34730,0.06013581,0.07036185,0.0652488321065902,score_short,score_long,score_ens
2023-01-31,short,3,5380,0.055441126,0.04199804,0.048719584941864,score_short,score_long,score_ens
2023-01-31,short,4,97950,0.04480117,0.026499487,0.0356503278017044,score_short,score_long,score_ens
2023-01-31,short,5,36460,0.04110856,0.018176904,0.0296427309513092,score_short,score_ens,score_long
2023-01-31,short,6,30000,0.03951431,0.024034575,0.0317744426429271,score_short,score_long,score_ens
