metric,value,target,achievement,status
통합 랭킹 Hit Ratio,49.58%,50%,99.16%,거의 달성
단기 랭킹 Hit Ratio,49.28%,50%,98.56%,거의 달성
장기 랭킹 Hit Ratio,50.14%,50%,100.28%,달성
단기 랭킹 Holdout,50.99%,50%,101.98%,초과 달성
통합 랭킹 Holdout,51.06%,50%,102.12%,초과 달성
장기 랭킹 Holdout,51.00%,50%,102.00%,초과 달성
