phase,top_k,holding_days,cost_bps,cost_bps_used,cost_bps_config,cost_bps_mismatch_flag,gross_minus_net_total_return_pct,avg_cost_pct,buffer_k,n_rebalances,gross_total_return,net_total_return,gross_cagr,net_cagr,gross_vol_ann,net_vol_ann,gross_sharpe,net_sharpe,gross_mdd,net_mdd,gross_hit_ratio,net_hit_ratio,avg_turnover_oneway,avg_n_tickers,gross_calmar_ratio,net_calmar_ratio,gross_profit_factor,net_profit_factor,avg_trade_duration,date_start,date_end,weighting,alpha,model
dev,20,120,10.0,10.0,10.0,False,0.04434760586518938,0.09166666666666669,15,72,-0.3224673881544914,-0.36681499401968076,-0.06522835564396445,-0.07612863104559653,0.2728462707007379,0.27288079344507665,0.07329557674860063,0.06623194159820307,-0.9282627734465563,-0.9307159115512806,0.3888888888888889,0.3888888888888889,0.38402777777777786,20.0,-0.07026927881829995,-0.08179577688610515,1.152602015151227,1.136635697099078,46.42325158946412,2016-09-27,2022-07-06,equal,"short=0.10,long=10.00",bt120_ens
holdout,20,120,10.0,10.0,10.0,False,0.031055637557477977,0.10000000000000002,15,18,0.7910219481836878,0.7599663106262098,0.5229927614313725,0.5038840688645747,0.12488436741626785,0.12488436741626785,0.6099789518204541,0.5931633964116987,-0.17215975231660874,-0.17645317586680997,0.6111111111111112,0.6111111111111112,0.41111111111111115,20.0,3.0378340720981507,2.8556248216519236,2.7436697713311062,2.6644865099031914,46.37692307692308,2023-01-31,2024-06-20,equal,"short=0.10,long=10.00",bt120_ens
