phase,top_k,holding_days,cost_bps,cost_bps_used,cost_bps_config,cost_bps_mismatch_flag,gross_minus_net_total_return_pct,avg_cost_pct,buffer_k,n_rebalances,gross_total_return,net_total_return,gross_cagr,net_cagr,gross_vol_ann,net_vol_ann,gross_sharpe,net_sharpe,gross_mdd,net_mdd,gross_hit_ratio,net_hit_ratio,avg_turnover_oneway,avg_n_tickers,gross_calmar_ratio,net_calmar_ratio,gross_profit_factor,net_profit_factor,avg_trade_duration,date_start,date_end,weighting,alpha,model
dev,12,20,10.0,10.0,10.0,False,2.257787853263462,0.09756097560975611,15,82,29.038069080533226,26.780281227269764,0.6761867499071086,0.6564210568337188,1.9309755794997239,1.930964193274205,0.5753651425444383,0.5690024498894777,-0.3065067293080689,-0.3150620869069496,0.573170731707317,0.573170731707317,0.4705284552845528,12.0,2.2061073550769437,2.0834657171162143,5.5935574763273515,5.443918432135975,29.648543689320388,2016-04-29,2022-11-30,equal,1.00,bt20_short
holdout,12,20,10.0,10.0,10.0,False,0.027977307899911485,0.10000000000000002,15,23,0.23929958602190493,0.21132227812199345,0.12667866080260337,0.11246683665101997,0.21384004706354362,0.21384004706354362,0.6496177621930891,0.590695216239633,-0.18304694639230867,-0.1905403921637142,0.4782608695652174,0.43478260869565216,0.42028985507246375,12.0,0.6920555808186167,0.590251942771207,1.6985424804032054,1.6135312581326378,29.896103896103895,2023-01-31,2024-11-18,equal,1.00,bt20_short
