hit_ratio,ic_mean,rank_ic_mean,icir,rank_icir,objective_score,n_observations,n_dates,technical,value,profitability,combination_id
,,,,,0.25,0,0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1
,,,,,0.25,0,0,-0.5,-0.5,0.0,2
,,,,,0.25,0,0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,3
