hit_ratio,ic_mean,rank_ic_mean,icir,rank_icir,objective_score,n_observations,n_dates,technical,value,profitability,news,combination_id
0.4527777777777778,0.001184417164357562,0.013694488334780607,0.014188517030186445,0.12072360125991533,0.3866969783056302,17936,90,-0.25,-0.25,-0.25,-0.25,1
0.4611111111111112,-0.0014156675937744016,0.009900163377467968,-0.01625826512868999,0.07641939182388571,0.38797941643488976,17936,90,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,2
0.45888888888888885,-0.00632050181000882,0.0017573142737781385,-0.07953548235826428,0.016019603159902585,0.3860865412141644,17936,90,-0.25,-0.25,-0.25,0.25,3
0.46166666666666656,0.0033115647761457886,0.01953938830123408,0.038450526428668585,0.16684718569300877,0.3908659122511831,17936,90,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,4
0.45888888888888885,-0.00019389253612022643,0.018676802663737096,-0.002051955198004352,0.1324662256299739,0.3876181935326366,17936,90,-0.5,-0.5,0.0,0.0,5
0.4711111111111111,-0.007268000804728596,0.0043267753254792735,-0.09250927254360025,0.03919568210592767,0.38951633313215117,17936,90,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,6
0.45777777777777773,0.0023112949988107283,0.022398404537930006,0.024847511705550607,0.21595140757742495,0.388905057551258,17936,90,-0.25,-0.25,0.25,-0.25,7
0.4594444444444444,-0.0015216844816939826,0.02214483756658889,-0.015029427611173995,0.19787212968026788,0.3874529122129098,17936,90,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,8
0.4694444444444444,-0.008009286759820598,0.010399658826306854,-0.0913237475983529,0.11274227099783427,0.3888310116433782,17936,90,-0.25,-0.25,0.25,0.25,9
0.45611111111111113,0.015500125031227413,0.025885220493356047,0.15387580013915947,0.23146965086266122,0.3968633965967066,17936,90,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,10
0.4611111111111112,0.013342927485881851,0.02825208679795531,0.11553819324111497,0.21540686118566515,0.3962905929344484,17936,90,-0.5,0.0,-0.5,0.0,11
0.47000000000000003,0.003444685832173291,0.012709916551385517,0.03660778573195656,0.12650908493220014,0.3933254828873216,17936,90,-0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,12
0.4733333333333333,0.02276474197826003,0.03984875904451447,0.20366786876178886,0.35441451355972586,0.4058379002450365,17936,90,-0.5,0.0,0.0,-0.5,13
0.4788888888888888,0.023450882320273855,0.04665517744128095,0.15452438049503003,0.3332090462109735,0.40571036246653636,17936,90,-1.0,0.0,0.0,0.0,14
0.4744444444444444,0.006149746165011423,0.023651213682353393,0.06174719626458534,0.23419071308558026,0.39634065772516963,17936,90,-0.5,0.0,0.0,0.5,15
0.468888888888889,0.013905242369770286,0.03536481161651361,0.13838952842060384,0.33366268168515983,0.39967855839593347,17936,90,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,16
0.4655555555555556,0.012376002961159937,0.0402694117022211,0.11147957665472365,0.34827137293442395,0.3972198504731456,17936,90,-0.5,0.0,0.5,0.0,17
0.46888888888888886,0.0038500101646965984,0.02590062801082469,0.039930420042547966,0.276456383239475,0.39322638600954274,17936,90,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,18
0.46555555555555556,0.02057958340088665,0.03472938606214142,0.23985613332843353,0.3350254130825411,0.40440580785002567,17936,90,-0.25,0.25,-0.25,-0.25,19
0.46555555555555556,0.01990096051216262,0.035560246441914606,0.21911436396088507,0.32332803488187484,0.4034064813531427,17936,90,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,20
0.4638888888888888,0.01125294987404497,0.02558538800844106,0.1343836680225055,0.280828413916333,0.39735525085607815,17936,90,-0.25,0.25,-0.25,0.25,21
0.48444444444444446,0.020556046060784802,0.04056744320299569,0.24010428852112395,0.3663188208750843,0.41007651638937453,17936,90,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,22
0.4938888888888888,0.020006735719217184,0.04586119787383897,0.22238199398722036,0.37531950783031165,0.4120636303559598,17936,90,-0.5,0.5,0.0,0.0,23
0.47944444444444445,0.01191153822515695,0.03197902271204765,0.14636954535203422,0.3354106314572696,0.402665999703704,17936,90,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,24
0.4777777777777778,0.014192159186731591,0.034383181008271715,0.1629945310971172,0.3132722105914711,0.40340115437390095,17936,90,-0.25,0.25,0.25,-0.25,25
0.4822222222222223,0.013326112612901042,0.0378903930442926,0.14940441054097917,0.3272975718473234,0.40397437124153107,17936,90,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26
0.4722222222222222,0.008272322460745912,0.028921159620934278,0.09673057345819397,0.3027784450487987,0.3976039702201809,17936,90,-0.25,0.25,0.25,0.25,27
0.4455555555555556,-0.008042546912866742,-0.020795581870535297,-0.10213778275963618,-0.20437816579346074,0.38165602993845,17936,90,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,28
0.4466666666666666,-0.012047243648727491,-0.029527183114989263,-0.14933739830797207,-0.24274650519180768,0.3809881890878181,17936,90,0.0,-0.5,-0.5,0.0,29
0.4527777777777778,-0.0157144761319421,-0.026434602804147275,-0.19645056842366232,-0.24351165075615602,0.3819047143003478,17936,90,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,30
0.4561111111111111,-0.009399930015399356,-0.023730736065606224,-0.14469232367526774,-0.2453775884458043,0.3844833508294835,17936,90,0.0,-0.5,0.0,-0.5,31
