alpha,total_return_dev,total_return_holdout,cagr_dev,cagr_holdout,sharpe_dev,sharpe_holdout
0.0,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.8,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.6,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
1.0,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.9,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.3,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.1,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.5,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.7,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.4,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
0.2,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
