strategy,holding_days,net_sharpe,net_cagr,net_mdd,net_calmar_ratio
bt20_ens,20,0.5564,0.06825,-0.1056,5.268939393939394
bt20_short,20,0.7020000000000001,0.09010000000000001,-0.08075,8.693498452012385
bt120_ens,20,0.441,0.04635,-0.0882,5.0
bt120_long,20,0.5088,0.0572,-0.09215,5.5214324470971246
