alpha,alpha_short,alpha_long,optimization_score
0.10,0.1,,0.10916464549501526
1.00,1.0,,0.11246683665101997
0.30,0.3,,0.10916464549501526
3.00,3.0,,0.11035275903968844
10.00,10.0,,0.11035275903968844
