strategy,weighting,softmax_temperature,total_return_dev,total_return_holdout,cagr_dev,cagr_holdout,sharpe_dev,sharpe_holdout
bt120_long,softmax,0.5,0.21723381576563838,0.011938611059312931,0.03147400986483273,0.012113766133912351,0.29201872599459444,0.10610280256342666
bt120_long,equal,,0.23987717711444212,0.028797652023359044,0.03447532756408034,0.029223695762822688,0.3207261848001597,0.17689569824193235
bt120_ens,equal,,0.21974758934867977,0.04026252113613138,0.0318095134718519,0.04086152007939359,0.28428324511196634,0.21663439738187582
bt120_ens,softmax,0.5,0.19556972107828496,0.0269143630716846,0.028558139885660028,0.027312176433456292,0.26047403088830023,0.16516784219847477
bt20_short,equal,,0.21810703006513799,0.048995603765866313,0.028951008625987207,0.026866017737170678,0.24166904139622114,0.26074496590950774
bt20_ens,equal,,0.24554249963323316,0.060033277420741715,0.032271518464837,0.032840605498834385,0.25960571799227444,0.31554321538158564
bt20_short,softmax,0.5,0.18068175296116418,0.029844895654544068,0.024316732089742166,0.016433024614708858,0.21955498403015472,0.18333781952249945
bt20_ens,softmax,0.5,0.19701410746712433,0.018535055607474815,0.026354356030262593,0.01023097029064668,0.23050441551248177,0.14029839986288167
