neutral_band,exposure_bull,exposure_bear,top_k_bull,top_k_neutral,top_k_bear,buffer_k,stability_threshold,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_profit_factor,dev_net_sharpe,dev_net_cagr,dev_net_mdd,objective
0.05,1.2,0.8,12,15,30,10,0.85,0.44318876394860307,0.049846275534040085,-0.07950443892510572,0.6269621697600554,0.15217391304347827,1.4029450153069092,0.13297389213967056,0.008418538121165886,-0.350117670947537,45.31580190554111
0.05,1.2,0.8,12,15,30,10,0.7,0.44318876394860307,0.049846275534040085,-0.07950443892510572,0.6269621697600554,0.15217391304347827,1.4029450153069092,0.13297389213967056,0.008418538121165886,-0.350117670947537,45.31580190554111
0.05,1.5,0.8,12,15,30,10,0.85,0.43924712326783033,0.05362098788035641,-0.08764039624230402,0.6118295920537333,0.15217391304347827,1.4145829342778564,0.13041761169920613,0.007527835052479004,-0.3658331153115133,44.99713208439016
0.05,1.5,0.8,12,15,30,10,0.7,0.43924712326783033,0.05362098788035641,-0.08764039624230402,0.6118295920537333,0.15217391304347827,1.4145829342778564,0.13041761169920613,0.007527835052479004,-0.3658331153115133,44.99713208439016
0.05,1.2,0.8,10,15,30,10,0.7,0.43840401404253904,0.05269639817804328,-0.08977382445985904,0.5869906790214295,0.1753623188405797,1.4149029288295032,0.11780769044338854,0.005781090784375831,-0.3625740402470483,44.89432936781477
0.05,1.2,0.8,10,15,30,10,0.85,0.43840401404253904,0.05269639817804328,-0.08977382445985904,0.5869906790214295,0.1753623188405797,1.4149029288295032,0.11780769044338854,0.005781090784375831,-0.3625740402470483,44.89432936781477
0.05,1.8,0.8,12,15,30,10,0.85,0.43192351854436356,0.057079154486596284,-0.09580358036068248,0.5957935420754004,0.15217391304347827,1.4249679891548974,0.13573138150181097,0.007875497544399535,-0.3857665430817411,44.33393494416828
0.05,1.8,0.8,12,15,30,10,0.7,0.43192351854436356,0.057079154486596284,-0.09580358036068248,0.5957935420754004,0.15217391304347827,1.4249679891548974,0.13573138150181097,0.007875497544399535,-0.3857665430817411,44.33393494416828
0.05,1.2,0.8,12,15,20,10,0.85,0.42944202672766457,0.048833853898673674,-0.08404239792297197,0.5810621199008594,0.10869565217391303,1.3784419091720599,0.12103629702881302,0.006566271218133135,-0.3540068689378961,43.92087975073993
0.05,1.2,0.8,12,15,20,10,0.7,0.42944202672766457,0.048833853898673674,-0.08404239792297197,0.5810621199008594,0.10869565217391303,1.3784419091720599,0.12103629702881302,0.006566271218133135,-0.3540068689378961,43.92087975073993
0.05,1.5,0.8,12,15,20,10,0.85,0.4274698410582887,0.05260492609258316,-0.0921382457140899,0.5709347479419042,0.10869565217391303,1.3908659651420272,0.1193121103963587,0.0056825827347191105,-0.36960495809524274,43.799082627680534
0.05,1.5,0.8,12,15,20,10,0.7,0.4274698410582887,0.05260492609258316,-0.0921382457140899,0.5709347479419042,0.10869565217391303,1.3908659651420272,0.1193121103963587,0.0056825827347191105,-0.36960495809524274,43.799082627680534
0.05,1.5,0.8,10,15,30,10,0.85,0.42786069558125,0.05649859789867273,-0.10095958761878665,0.5596159733932928,0.1753623188405797,1.4257838017756381,0.12186497926479664,0.005801994583217729,-0.38363492056287873,43.72412399234113
0.05,1.5,0.8,10,15,30,10,0.7,0.42786069558125,0.05649859789867273,-0.10095958761878665,0.5596159733932928,0.1753623188405797,1.4257838017756381,0.12186497926479664,0.005801994583217729,-0.38363492056287873,43.72412399234113
0.05,1.2,0.8,10,15,20,10,0.7,0.4263117518170227,0.051681228020444836,-0.09426115632549281,0.5482770425814065,0.1318840579710145,1.3907029161318802,0.10404963197358018,0.0036253993423920328,-0.36640423823412627,43.664799742111164
0.05,1.2,0.8,10,15,20,10,0.85,0.4263117518170227,0.051681228020444836,-0.09426115632549281,0.5482770425814065,0.1318840579710145,1.3907029161318802,0.10404963197358018,0.0036253993423920328,-0.36640423823412627,43.664799742111164
0.05,1.8,0.8,12,15,20,10,0.7,0.4218743579364356,0.05605975780801775,-0.10026118608074608,0.5591371895687491,0.10869565217391303,1.4020116992932925,0.12547227115994117,0.00603484415569544,-0.38939786002023336,43.2563937336547
0.05,1.8,0.8,12,15,20,10,0.85,0.4218743579364356,0.05605975780801775,-0.10026118608074608,0.5591371895687491,0.10869565217391303,1.4020116992932925,0.12547227115994117,0.00603484415569544,-0.38939786002023336,43.2563937336547
0.05,1.2,0.7,12,15,30,10,0.85,0.4224491656351646,0.046723281574197806,-0.07911246886712908,0.5905931421843308,0.15217391304347827,1.3811710011174596,0.11350220438761736,0.005610080270475271,-0.3387049129643782,43.179382195000414
0.05,1.2,0.7,12,15,30,10,0.7,0.4224491656351646,0.046723281574197806,-0.07911246886712908,0.5905931421843308,0.15217391304347827,1.3811710011174596,0.11350220438761736,0.005610080270475271,-0.3387049129643782,43.179382195000414
0.05,1.5,0.7,12,15,30,10,0.7,0.4200299960987268,0.050486765225292274,-0.08725189067866734,0.5786323348708367,0.15217391304347827,1.3940681367186865,0.11200259206162994,0.00472185782063006,-0.35469634046423304,43.01273491437853
0.05,1.5,0.7,12,15,30,10,0.85,0.4200299960987268,0.050486765225292274,-0.08725189067866734,0.5786323348708367,0.15217391304347827,1.3940681367186865,0.11200259206162994,0.00472185782063006,-0.35469634046423304,43.01273491437853
0.05,1.2,0.7,10,15,30,10,0.7,0.4188983894753396,0.049564925914272084,-0.08938622736337598,0.5545029405120661,0.1753623188405797,1.3939630930803082,0.09794983699010908,0.002979978256484106,-0.3513800319079542,42.8811374658194
0.05,1.2,0.7,10,15,30,10,0.85,0.4188983894753396,0.049564925914272084,-0.08938622736337598,0.5545029405120661,0.1753623188405797,1.3939630930803082,0.09794983699010908,0.002979978256484106,-0.3513800319079542,42.8811374658194
