model,dev_hit_ratio,holdout_hit_ratio,overfitting,target_met,status,priority
bt20_ens,0.5121951219512195,0.5217391304347826,-0.009544008483563071,True,✅ 양호,낮음
bt20_short,0.573170731707317,0.4347826086956521,0.13838812301166492,False,⚠️ 과적합,높음
bt120_ens,0.3888888888888889,0.6111111111111112,-0.22222222222222227,True,✅ 양호,낮음
bt120_long,0.3472222222222222,0.6666666666666666,-0.3194444444444444,True,✅ 양호,낮음
