alpha,alpha_short,alpha_long,optimization_score
0.30,,0.3,2.3321049107861693
0.10,,0.1,2.3321049107861693
10.00,,10.0,2.464415948912655
1.00,,1.0,2.3321049107861693
3.00,,3.0,2.332104910786171
