model,phase,net_hit_ratio,gross_hit_ratio,net_sharpe,net_cagr,net_mdd
bt20_ens,dev,0.5121951219512195,0.524390243902439,0.5546426500554857,0.524950519402414,-0.369338424187099
bt20_ens,holdout,0.5217391304347826,0.5217391304347826,0.4643230063584693,0.080552863111895,-0.1442932244810859
bt20_short,dev,0.573170731707317,0.573170731707317,0.5690024498894777,0.6564210568337188,-0.3150620869069496
bt20_short,holdout,0.4347826086956521,0.4782608695652174,0.590695216239633,0.1124668366510199,-0.1905403921637142
bt120_ens,dev,0.3888888888888889,0.3888888888888889,0.066231941598203,-0.0761286310455965,-0.9307159115512806
bt120_ens,holdout,0.6111111111111112,0.6111111111111112,0.5931633964116987,0.5038840688645747,-0.1764531758668099
bt120_long,dev,0.3472222222222222,0.3472222222222222,0.023678465794335,-0.1153318073506814,-0.9343165254523488
bt120_long,holdout,0.6666666666666666,0.6666666666666666,0.5692179424155812,0.4029682352628447,-0.1635147002845204
