model,phase,metric,before,after,change,change_pct,improvement
bt20_ens,dev,net_sharpe,0.023678465794335,0.5546426500554857,0.5309641842611508,2242.392682334099,True
bt20_ens,dev,net_cagr,-0.1153318073506814,0.524950519402414,0.6402823267530954,555.1654322092027,True
bt20_ens,dev,net_mdd,-0.9343165254523488,-0.369338424187099,0.5649781012652497,60.469668027301125,False
bt20_ens,dev,net_calmar_ratio,-0.1234397596626514,1.421326580243612,1.5447663399062632,1251.4333664679486,True
bt20_ens,dev,net_total_return,-0.5069975969461813,15.112203351657424,15.619200948603606,3080.724848141955,True
bt20_ens,dev,net_hit_ratio,0.3472222222222222,0.5121951219512195,0.1649728997289973,47.51219512195123,True
bt20_ens,dev,net_profit_factor,1.0445676315486976,5.023070754506794,3.978503122958096,380.87558936317845,True
bt20_ens,dev,avg_turnover_oneway,0.3828703703703703,0.4118955418001029,0.0290251714297326,7.580939575359423,True
bt20_ens,dev,avg_trade_duration,46.05528255528255,29.702239789196312,-16.35304276608624,-35.50742034088453,False
bt20_ens,holdout,net_sharpe,0.5692179424155812,0.4643230063584693,-0.10489493605711192,-18.42790401370184,False
bt20_ens,holdout,net_cagr,0.4029682352628447,0.080552863111895,-0.32241537215094973,-80.01012088226939,False
bt20_ens,holdout,net_mdd,-0.1635147002845204,-0.1442932244810859,0.0192214758034345,11.755197404263082,False
bt20_ens,holdout,net_calmar_ratio,2.464415948912655,0.558258112268147,-1.9061578366445078,-77.34724478980665,False
bt20_ens,holdout,net_total_return,0.5985016543274428,0.1495328330824055,-0.44896882124503734,-75.01546871237295,False
bt20_ens,holdout,net_hit_ratio,0.6666666666666666,0.5217391304347826,-0.14492753623188404,-21.739130434782606,False
bt20_ens,holdout,net_profit_factor,3.0021695192413,1.4403910722236206,-1.5617784470176794,-52.02166090249186,False
bt20_ens,holdout,avg_turnover_oneway,0.3277777777777777,0.3247282961554174,-0.0030494816223603505,-0.9303503254658698,False
bt20_ens,holdout,avg_trade_duration,39.52941176470589,29.955947136563875,-9.573464628142016,-24.21858611285926,False
bt20_short,dev,net_sharpe,0.023678465794335,0.5690024498894777,0.5453239840951427,2303.037658063175,True
bt20_short,dev,net_cagr,-0.1153318073506814,0.6564210568337188,0.7717528641844001,669.1587359225066,True
bt20_short,dev,net_mdd,-0.9343165254523488,-0.3150620869069496,0.6192544385453992,66.27887034809616,False
bt20_short,dev,net_calmar_ratio,-0.1234397596626514,2.0834657171162143,2.2069054767788656,1787.8400628858312,True
bt20_short,dev,net_total_return,-0.5069975969461813,26.780281227269764,27.287278824215946,5382.131786930844,True
bt20_short,dev,net_hit_ratio,0.3472222222222222,0.573170731707317,0.22594850948509482,65.07317073170731,True
bt20_short,dev,net_profit_factor,1.0445676315486976,5.443918432135975,4.3993508005872775,421.16476403396774,True
bt20_short,dev,avg_turnover_oneway,0.3828703703703703,0.4705284552845528,0.08765808491418248,22.894977438287086,True
bt20_short,dev,avg_trade_duration,46.05528255528255,29.648543689320388,-16.406738865962165,-35.62401087490518,False
bt20_short,holdout,net_sharpe,0.5692179424155812,0.590695216239633,0.021477273824051735,3.773119612658197,True
bt20_short,holdout,net_cagr,0.4029682352628447,0.1124668366510199,-0.2905013986118248,-72.09039651036986,False
bt20_short,holdout,net_mdd,-0.1635147002845204,-0.1905403921637142,-0.02702569187919382,-16.527989124016568,True
bt20_short,holdout,net_calmar_ratio,2.464415948912655,0.590251942771207,-1.874164006141448,-76.04901303160139,False
bt20_short,holdout,net_total_return,0.5985016543274428,0.2113222781219934,-0.38717937620544945,-64.69144628188813,False
bt20_short,holdout,net_hit_ratio,0.6666666666666666,0.4347826086956521,-0.23188405797101452,-34.78260869565218,False
bt20_short,holdout,net_profit_factor,3.0021695192413,1.6135312581326378,-1.3886382611086623,-46.254492033467685,False
bt20_short,holdout,avg_turnover_oneway,0.3277777777777777,0.4202898550724637,0.09251207729468597,28.224023581429623,True
bt20_short,holdout,avg_trade_duration,39.52941176470589,29.89610389610389,-9.633307868602,-24.369975262832433,False
bt120_ens,dev,net_sharpe,0.023678465794335,0.066231941598203,0.04255347580386801,179.7138217208684,True
bt120_ens,dev,net_cagr,-0.1153318073506814,-0.0761286310455965,0.039203176305084894,33.991643073694775,True
bt120_ens,dev,net_mdd,-0.9343165254523488,-0.9307159115512806,0.0036006139010681393,0.38537409999517075,False
bt120_ens,dev,net_calmar_ratio,-0.1234397596626514,-0.0817957768861051,0.041643982776546296,33.736279858576495,True
bt120_ens,dev,net_total_return,-0.5069975969461813,-0.3668149940196807,0.1401826029265006,27.6495596371399,True
bt120_ens,dev,net_hit_ratio,0.3472222222222222,0.3888888888888889,0.041666666666666685,12.000000000000005,True
bt120_ens,dev,net_profit_factor,1.0445676315486976,1.136635697099078,0.0920680655503805,8.813987986003212,True
bt120_ens,dev,avg_turnover_oneway,0.3828703703703703,0.3840277777777778,0.0011574074074074958,0.30229746070135327,True
bt120_ens,dev,avg_trade_duration,46.05528255528255,46.42325158946412,0.36796903418157,0.7989724821248847,True
bt120_ens,holdout,net_sharpe,0.5692179424155812,0.5931633964116987,0.02394545399611747,4.206728602844198,True
bt120_ens,holdout,net_cagr,0.4029682352628447,0.5038840688645747,0.10091583360173001,25.043123693336643,True
bt120_ens,holdout,net_mdd,-0.1635147002845204,-0.1764531758668099,-0.0129384755822895,-7.912729289645623,True
bt120_ens,holdout,net_calmar_ratio,2.464415948912655,2.855624821651924,0.3912088727392691,15.874303723439118,True
bt120_ens,holdout,net_total_return,0.5985016543274428,0.7599663106262098,0.16146465629876694,26.978147032895073,True
