strategy,baseline_sharpe,current_sharpe,baseline_cagr,current_cagr,baseline_mdd,current_mdd,baseline_calmar,current_calmar,sharpe_change_pct,cagr_change_pct,calmar_change_pct
bt20_ens,0.46432300635846935,0.4485532676427843,0.08055286311189502,0.0783354976796097,-0.14429322448108595,-0.1533128732329751,0.558258112268147,0.5109518596039271,-3.3962863135647425,-2.7526835752631182,-8.473903311860417
bt20_short,0.5498372840601544,0.5498372840601544,0.10380203697491686,0.1038020369749168,-0.15274203263585284,-0.1527420326358528,0.6795905173161327,0.6795905173161327,0.0,-5.3477901637587104e-14,0.0
bt120_ens,0.5931633964116987,0.5931633964116987,0.5038840688645747,0.5038840688645747,-0.17645317586680997,-0.1764531758668099,2.8556248216519236,2.855624821651924,0.0,0.0,1.5551384988773336e-14
bt120_long,0.6833419199258419,0.6954022362643936,0.5558292678504433,0.5580076690014235,-0.19284778649036716,-0.1648245169448526,2.8822175144758906,3.385465216853163,1.7649021649162786,0.3919191156314507,17.460434538674438
